CommCode,Total Seps,Campus Code,CampusSeps
S001,1517.79786372835,1460,977.810885121263
S002,639.944538118254,1335,338.177151376071
S003,1758.40808488286,1335,678.832919746334
S004,1855.27329487274,1450,879.540415128111
S005,1227.70099480322,1021,810.280684578782
S006,1413.60907716181,1450,599.338688244141
S007,1782.31368457401,2020,1485.70019940159
S008,882.14968265571,1032,326.342158461109
S009,3138.16969395161,1191,898.783918216917
S010,5541.62767546772,1332,1410.48462587778
S011,4398.64839346506,1191,1565.55275344093
S012,1476.97834529833,1450,614.013683999127
S013,1202.98649647054,1021,681.33277463554
S014,318.621823808612,1022,253.65578736051
S015,2701.55764672816,1335,1011.57473450263
S016,1560.76308998953,1071,387.574030611002
S017,1262.9391590221,1071,314.336006954989
S018,1003.37591878093,1180,284.854813439059
S019,998.674680493085,1180,283.520425090711
S020,900.824813393205,1335,369.339596937879
S021,4237.02464655119,1335,1433.96758584487
S022,76.3449114613922,1660,29.5199581229791
S023,43.0293345184335,2020,35.8658312645226
S024,1005.14384006469,1021,656.233130435587
S025,1361.04718900068,2020,1134.46069687271
S026,1321.63638596398,2020,1101.60392875629
S027,979.60317554923,2020,816.918453948417
S028,2270.36617786135,1071,1156.8303981952
S029,2734.09305791252,1071,952.855335185343
S030,305.364448316229,2120,154.227402985991
S031,595.355861953905,2230,412.029135880793
S032,3085.42288225273,1220,941.217578396299
S033,2318.13706090916,1220,718.008286566587
S034,916.853932197776,3670,272.676959334748
S035,2016.36180757002,1370,868.795158906436
S036,829.33998766576,1660,403.745588725097
S037,286.387239297881,1660,139.380108107376
S038,314.11657387835,1660,152.874379681591
S039,1815.02708116784,2060,1663.16626354197
S040,1673.03407969064,2060,1533.08671363208
S041,635.05724659682,1032,256.597621577568
S042,3310.64438429697,2060,2907.46537493622
S043,1916.00525667618,1022,1584.95853563157
S044,3248.61179697981,1021,904.640735598888
S045,5636.84848440546,1180,1818.66411500845
S046,8398.78949739586,3670,3333.49779638961
S047,690.33665819623,2230,480.540701125051
S048,1183.06030438405,2020,986.104708585249
S049,952.07861700107,1370,401.284417442349
S050,3002.15358481666,1071,1709.04257193308
S051,1647.69112926966,1071,938.227301824031
S052,2482.95645894353,1071,1413.45614042564
S053,495.837700343229,1260,273.904853992434
S054,1750.7424188992,2230,573.089639032946
S055,5808.78291531794,1660,2011.58515126631
S056,530.212495795608,2660,100.709435088069
S057,2403.34016743197,1071,1663.0216980361
S058,2295.07934002341,1071,1688.08647195816
S059,1917.73357390308,1071,1326.9880065768
S060,0,1021,0
S061,2964.69169625347,1191,905.8897703634
S062,360.737774388621,2060,314.362528133837
S063,673.137847812658,1032,310.969469412567
S064,2740.77462881793,1021,1286.35234590304
S065,2455.11801908827,1021,1152.361763545
S066,4521.66809559038,1335,1533.15286831783
S067,461.33377545476,1191,158.207902533111
S068,5043.18634867325,1335,2252.12965579792
S069,1792.76717765462,1460,602.904045494137
S070,3633.65342364894,1335,2091.96994533435
S071,2258.72742266875,1032,869.296873116089
S072,6898.88627611951,1032,2721.60274143587
S073,585.543657677465,2020,467.798705221848
S074,133.039365390435,1460,58.0025583591858
S075,1230.03660376317,1450,539.408014473571
S076,1405.95304703864,1450,616.552933600499
S077,2575.81863647023,1071,1243.36321863573
S078,2361.06846907628,1071,1161.03632994502
S079,2525.67426568282,1450,1108.92996880452
S080,0,1021,0
S081,2229.02758210376,1022,1903.88067644441
S082,2353.94344451493,1071,873.187146549014
S083,2848.06593009239,1335,1208.21861897695
S084,795.773439786292,2020,663.289870153587
S085,871.995534730446,1071,307.644954785956
S086,1769.26079883453,1335,678.239109160473
S087,969.264562384521,1460,401.265876968961
S088,3219.93863753906,1021,1146.73614443696
S089,5721.66140365821,1450,2508.74453133397
S090,932.632481906211,2230,497.641503341472
S091,6425.197392296,2230,3926.72559911194
S092,1275.15839811361,1021,851.287754244228
S093,141.602307744141,1021,49.5105381455332
S094,1909.46872240145,1021,1142.18359440433
S095,2787.07480045855,1021,1860.72993671121
S096,1945.01996769945,1180,870.111035489536
S097,2198.15184782665,2230,719.439718246025
S098,1578.54946417071,2230,514.3534906758
S099,5147.68542407699,1180,1320.81116386694
S100,1498.82285391076,1220,615.858482166682
S101,2647.91857678553,1180,1230.44386788206
S102,4421.72439472118,1180,1917.49853642259
S103,4149.60365650517,1180,1928.2493051564
S104,70.129110533882,1660,27.2058483318835
S105,1260.57410477194,1460,650.666545171984
S106,7773.54709324376,1335,3591.35686838097
S107,2036.34453211183,1335,940.681996911473
S108,783.633599610506,1660,220.834756069361
S109,337.340312742347,1220,187.71258135775
S110,1688.61795042312,1460,891.140007828686
S111,1230.63009146009,1335,409.346798541523
S112,6423.68805030792,2060,5874.55849574952
S113,9644.63086303187,1290,3708.67364507556
S114,5720.79246732655,2660,1086.61674745333
S115,2351.79555437533,3670,467.228880045482
S116,4458.6557080211,2660,846.672903512166
S117,145.337427017243,2660,27.6056250277549
S118,2686.05103169296,2660,510.192927226442
S119,279.751895067307,1460,121.962816282866
S120,663.883143234369,2230,480.731934993459
S121,5781.34718497028,1220,2899.93243068243
S122,1266.07263114568,1220,635.175492583025
S123,1879.36055813435,1220,942.853307728054
S124,1111.64644547684,1220,557.793207857416
S125,2763.55916385528,1335,936.845989713825
S126,9618.12321997149,2120,4882.30418793084
S127,8418.8288571503,2120,4275.19282438406
S128,137.92336616518,2120,70.1132278980246
S129,405.647781038611,1071,203.385002347193
S130,4617.56563139354,1450,2024.94192982995
S131,1627.20839402933,2020,1367.63333117109
S132,1979.94491409834,1450,700.641512392098
S133,1529.78501317575,1332,585.66649955766
S134,259.872737809715,2660,49.3605992737161
S135,1924.65656417715,1032,796.121446107014
S136,2503.04837093649,1180,843.893631707984
S137,499.533769477655,1335,132.991414150979
S138,4489.59252678421,1071,1949.87293619717
S139,5552.88128877892,1071,2843.63555578952
S140,2382.96123307995,1071,842.27572072737
S141,2965.04788909735,1290,759.709172053504
S142,3223.95122194807,2120,1773.49363861516
S143,1555.2337547383,2230,716.40150083096
S144,210.260123990296,2060,192.666756910637
S145,2509.54011394071,1022,2145.04689555241
S146,927.999041867261,1032,385.856056971319
S147,714.02610049719,1022,590.639145260199
S148,1426.4060561495,2060,1240.65478671455
S149,495.777620070048,1460,165.408639219207
S150,1654.44830841759,2230,541.391986933325
S151,2203.96526843834,1021,1406.73676417319
S152,2254.19995758752,1032,1038.5982451869
S153,851.030799513525,1032,392.113608520045
S154,2618.74060529053,1021,1640.25420138158
S155,1119.38034259329,1660,432.823488902091
S156,6209.49049362365,2120,2470.87066996916
S157,8306.48950647509,1290,3643.26577472509
S158,638.190286510129,1022,508.065485527555
S159,3341.25384544758,1335,1765.85460124269
S160,0,1021,0
S161,394.350081384263,1335,198.908952282349
S162,247.486363445611,1335,130.772846917621
S163,710.2538555572,2120,390.838830231447
S164,157.203761905414,2020,131.032553994818
S165,1146.11601336782,1032,414.451589121038
S166,4694.5876328095,1335,1931.52174824085
S167,6538.1801900798,1660,2950.3336920931
S168,260.71158518087,1660,100.709996905899
S169,2296.02811512144,1460,1173.24249319738
S170,2468.44143770518,1460,1261.92961774145
S171,1732.70722410796,1335,705.92336280531
S172,1288.79027465267,1022,1066.08312305807
S173,3947.73316900247,1191,1462.85162910409
S174,2126.30136789058,1071,1132.34050021549
S175,10355.5191781058,2230,7316.16841838609
S176,3121.89386691502,2230,2365.90963535158
S177,5190.6061514441,2230,3667.17048763621
S178,217.515829169772,1021,138.8340447757
S179,1055.48199550377,2060,932.070373299617
S180,1791.36387759011,2060,1620.70847256724
S181,2795.65869597016,1335,1215.81529295101
S182,919.694026053515,1021,327.536608895113
S183,2940.90890935246,1021,839.446303750201
S184,6150.91609418198,1180,2053.87025505474
S185,5987.74868651124,1335,2216.97618474124
S186,91.8599579706266,1022,76.7810095985511
S187,543.245348295222,2020,452.806119714597
S188,2891.81926228644,1022,2417.10551873894
S189,919.247382652348,1335,399.775216652808
S190,4491.05732539451,1032,2066.10451037051
S191,2126.73112009808,1290,680.190827237341
S192,3441.77665947246,2060,3022.56473909686
S193,1632.33825337718,1335,603.982952614181
S194,3604.78732247637,3670,1197.91215916495
S195,2075.59628616235,2060,1901.97219667856
S196,2905.98825964434,1370,1035.5580653427
S197,1039.58749159316,1370,376.980567268964
S198,6022.75222910224,2120,1894.40564640823
S199,74.5847512080279,3670,29.1995145882237
S200,2676.50703782101,2230,1916.8697466887
S201,2330.62532065883,1460,663.998429477708
S202,1498.21220024505,1021,436.680429247979
S203,413.927171727822,1180,187.347730472718
S204,2269.96873117415,1220,1153.73350698618
S205,1354.31774404494,1032,563.816895431204
S206,2336.87419232062,1032,944.570631832977
S207,1956.91491904198,1032,790.702611847485
S208,892.973693415979,2060,807.962842801496
S209,2599.78024164614,1370,693.601050410233
S210,4039.06298785372,2060,3547.19800068613
S211,3772.56092225919,1450,1334.92301241048
S212,34.0775718526949,2230,28.0541037536473
